device_id,total_transactions,chargeback_count,distinct_cards_used,chargeback_rate
129502.0,1,1,1,1.0
708348.0,4,1,4,0.25
708210.0,1,1,1,1.0
248385.0,1,1,1,1.0
769545.0,1,1,1,1.0
133264.0,1,1,1,1.0
548247.0,1,1,1,1.0
304536.0,1,1,1,1.0
671987.0,1,0,1,0.0
672304.0,1,0,1,0.0
670876.0,1,0,1,0.0
651735.0,1,0,1,0.0
672703.0,1,0,1,0.0
652002.0,1,0,1,0.0
652849.0,1,0,1,0.0
650198.0,1,0,1,0.0
650043.0,1,0,1,0.0
648351.0,1,0,1,0.0
673563.0,1,0,1,0.0
651510.0,1,0,1,0.0
663091.0,1,0,1,0.0
647941.0,1,0,1,0.0
646279.0,1,0,1,0.0
676959.0,1,0,1,0.0
645870.0,1,0,1,0.0
676298.0,1,0,1,0.0
676238.0,1,0,1,0.0
675499.0,1,0,1,0.0
646081.0,1,0,1,0.0
646617.0,1,0,1,0.0
673627.0,1,0,1,0.0
674887.0,1,0,1,0.0
646874.0,1,0,1,0.0
647016.0,1,0,1,0.0
674576.0,1,0,1,0.0
665113.0,1,0,1,0.0
665089.0,1,0,1,0.0
647807.0,1,0,1,0.0
670654.0,1,0,1,0.0
666003.0,1,0,1,0.0
661826.0,1,0,1,0.0
657301.0,1,0,1,0.0
659060.0,1,0,1,0.0
666760.0,1,0,1,0.0
663147.0,1,0,1,0.0
660569.0,1,0,1,0.0
668373.0,1,0,1,0.0
661884.0,1,0,1,0.0
664003.0,1,0,1,0.0
668334.0,1,0,1,0.0
662915.0,1,0,1,0.0
668274.0,1,0,1,0.0
667883.0,1,0,1,0.0
663018.0,1,0,1,0.0
667618.0,1,0,1,0.0
663400.0,1,0,1,0.0
655926.0,1,0,1,0.0
667092.0,1,0,1,0.0
670056.0,1,0,1,0.0
670603.0,1,0,1,0.0
664968.0,1,0,1,0.0
664706.0,1,0,1,0.0
653298.0,1,0,1,0.0
670113.0,1,0,1,0.0
654595.0,1,0,1,0.0
669771.0,1,0,1,0.0
668423.0,1,0,1,0.0
664182.0,1,0,1,0.0
677398.0,1,0,1,0.0
669683.0,1,0,1,0.0
668489.0,1,0,1,0.0
654925.0,1,0,1,0.0
655155.0,1,0,1,0.0
665807.0,1,0,1,0.0
2.0,1,0,1,0.0
677518.0,1,0,1,0.0
677996.0,1,0,1,0.0
723554.0,1,0,1,0.0
723355.0,1,0,1,0.0
723309.0,2,0,1,0.0
723045.0,1,0,1,0.0
722052.0,2,0,2,0.0
721012.0,1,0,1,0.0
720668.0,2,0,2,0.0
720594.0,1,0,1,0.0
720426.0,1,0,1,0.0
720242.0,1,0,1,0.0
718934.0,1,0,1,0.0
718110.0,1,0,1,0.0
717628.0,1,0,1,0.0
717037.0,1,0,1,0.0
716895.0,1,0,1,0.0
716108.0,1,0,1,0.0
715437.0,4,0,3,0.0
715212.0,1,0,1,0.0
714772.0,1,0,1,0.0
714132.0,1,0,1,0.0
714050.0,1,0,1,0.0
713292.0,1,0,1,0.0
713079.0,1,0,1,0.0
711461.0,1,0,1,0.0
710257.0,2,0,1,0.0
727228.0,1,0,1,0.0
727361.0,1,0,1,0.0
727482.0,1,0,1,0.0
733023.0,1,0,1,0.0
738169.0,1,0,1,0.0
737369.0,1,0,1,0.0
735990.0,2,0,1,0.0
735564.0,1,0,1,0.0
735259.0,1,0,1,0.0
734804.0,1,0,1,0.0
734626.0,1,0,1,0.0
734519.0,1,0,1,0.0
733420.0,1,0,1,0.0
733274.0,1,0,1,0.0
733243.0,1,0,1,0.0
732713.0,1,0,1,0.0
727762.0,1,0,1,0.0
732163.0,1,0,1,0.0
731859.0,1,0,1,0.0
731521.0,1,0,1,0.0
731171.0,1,0,1,0.0
730313.0,4,0,3,0.0
730311.0,1,0,1,0.0
730197.0,1,0,1,0.0
729813.0,1,0,1,0.0
728856.0,1,0,1,0.0
728855.0,1,0,1,0.0
727924.0,1,0,1,0.0
709761.0,1,0,1,0.0
708931.0,1,0,1,0.0
708900.0,1,0,1,0.0
685432.0,1,0,1,0.0
692940.0,1,0,1,0.0
689622.0,1,0,1,0.0
689172.0,2,0,2,0.0
688693.0,1,0,1,0.0
688557.0,1,0,1,0.0
686897.0,1,0,1,0.0
686529.0,1,0,1,0.0
686358.0,1,0,1,0.0
686267.0,1,0,1,0.0
686252.0,1,0,1,0.0
686241.0,1,0,1,0.0
685259.0,1,0,1,0.0
693422.0,1,0,1,0.0
684545.0,1,0,1,0.0
683572.0,1,0,1,0.0
681070.0,1,0,1,0.0
681004.0,1,0,1,0.0
680952.0,1,0,1,0.0
680929.0,1,0,1,0.0
680743.0,1,0,1,0.0
680634.0,1,0,1,0.0
680238.0,1,0,1,0.0
678906.0,1,0,1,0.0
678753.0,1,0,1,0.0
693021.0,1,0,1,0.0
645708.0,1,0,1,0.0
707585.0,1,0,1,0.0
699676.0,1,0,1,0.0
707355.0,1,0,1,0.0
706958.0,1,0,1,0.0
705529.0,1,0,1,0.0
704203.0,1,0,1,0.0
702700.0,1,0,1,0.0
701687.0,1,0,1,0.0
701235.0,1,0,1,0.0
701116.0,2,0,2,0.0
700397.0,1,0,1,0.0
700150.0,1,0,1,0.0
